Publishing,Film & Music,Creative,Entertainment,Arts,Tech,Journalism,Siggy,State
0,0,0,0,1,0,0,0.415038049,0
0,0,1,0,0,0,0,1,0
0,0,0,0,1,0,0,0.412778068,1
0,0,1,0,0,0,0,0.412293368,1
0,0,0,0,1,0,0,0.476709882,0
0,0,0,1,0,0,0,0.412868773,1
0,0,0,0,0,1,0,0.971199631,0
0,0,0,0,0,1,0,0.465316536,0
0,0,0,0,1,0,0,0.41690633,0
0,0,0,1,0,0,0,0.393435762,1
0,1,0,0,0,0,0,0.999999731,0
0,0,1,0,0,0,0,0.415188425,0
0,0,0,0,1,0,0,0.435962722,0
0,0,1,0,0,0,0,0.418918338,0
0,0,1,0,0,0,0,0.414010905,0
0,0,1,0,0,0,0,0.412900052,1
0,0,0,0,0,0,1,0.412984508,1
0,0,0,1,0,0,0,0.410574841,1
0,0,0,0,1,0,0,0.635445486,0
0,0,0,0,1,0,0,0.470408277,0
0,1,0,0,0,0,0,0.412856261,1
0,0,1,0,0,0,0,0.393161739,1
0,0,0,1,0,0,0,0.572627384,0
0,1,0,0,0,0,0,0.441290845,0
0,1,0,0,0,0,0,0.40956349,1
0,0,1,0,0,0,0,0.428796366,0
1,0,0,0,0,0,0,0.460648743,0
0,0,0,1,0,0,0,0.264522628,1
0,1,0,0,0,0,0,0.421307365,0
0,0,1,0,0,0,0,0.423678026,0
0,0,0,1,0,0,0,0.388501784,1
0,0,0,1,0,0,0,0.506744253,0
0,0,0,0,1,0,0,0.431104983,0
0,1,0,0,0,0,0,0.418142717,0
0,0,0,0,0,1,0,0.436714845,0
0,0,0,0,1,0,0,0.40378194,1
0,0,1,0,0,0,0,0.372041861,1
0,0,0,1,0,0,0,0.40868804,1
0,1,0,0,0,0,0,0.438270788,0
0,0,0,0,0,1,0,0.443936175,0
0,0,0,0,1,0,0,0.415796355,0
1,0,0,0,0,0,0,0.592085134,0
0,0,1,0,0,0,0,0.440204511,0
0,1,0,0,0,0,0,0.420914176,0
0,0,0,1,0,0,0,0.418478666,0
0,0,1,0,0,0,0,0.510098131,0
0,0,0,0,1,0,0,0.421606254,0
0,1,0,0,0,0,0,0.417678166,0
0,0,0,1,0,0,0,0.415234293,0
0,0,1,0,0,0,0,0.416203874,0
0,0,0,0,1,0,0,0.413034559,1
0,0,0,0,0,1,0,0.404011831,1
0,0,1,0,0,0,0,0.428764762,0
0,0,0,0,1,0,0,0.413916996,0
0,0,0,0,1,0,0,0.412806217,1
0,1,0,0,0,0,0,0.410456186,1
0,1,0,0,0,0,0,0.444649787,0
0,0,0,1,0,0,0,0.420914176,0
0,1,0,0,0,0,0,0.882584364,0
1,0,0,0,0,0,0,0.350221156,1
0,0,0,0,0,1,0,0.489842815,0
0,0,1,0,0,0,0,0.4345735,0
0,0,1,0,0,0,0,0.428777404,0
0,1,0,0,0,0,0,0.933942621,0
0,0,1,0,0,0,0,0.411665074,1
0,1,0,0,0,0,0,0.459292972,0
0,0,1,0,0,0,0,0.446151025,0
0,1,0,0,0,0,0,0.418039122,0
0,0,1,0,0,0,0,0.73902408,0
0,1,0,0,0,0,0,0.411555699,1
0,0,0,0,1,0,0,0.412944813,1
1,0,0,0,0,0,0,0.413697899,0
0,0,0,1,0,0,0,0.715743359,0
0,0,0,0,1,0,0,0.460648743,0
0,0,0,0,1,0,0,0.405550696,1
0,0,0,0,1,0,0,0.415576969,0
0,1,0,0,0,0,0,0.413025174,1
0,1,0,0,0,0,0,0.388172427,1
0,0,1,0,0,0,0,0.572864199,0
0,0,1,0,0,0,0,0.460456399,0
0,0,0,0,1,0,0,0.410481165,1
0,0,1,0,0,0,0,0.460648743,0
0,1,0,0,0,0,0,0.473913495,0
1,0,0,0,0,0,0,0.426427723,0
0,0,1,0,0,0,0,0.658079411,0
0,0,0,1,0,0,0,0.41415178,0
0,1,0,0,0,0,0,0.413791794,0
0,1,0,0,0,0,0,0.406488325,1
0,1,0,0,0,0,0,0.430798047,0
0,0,0,1,0,0,0,0.459776879,0
0,0,0,1,0,0,0,0.411336975,1
1,0,0,0,0,0,0,0.41306897,1
0,1,0,0,0,0,0,0.41261544,1
1,0,0,0,0,0,0,0.465493106,0
1,0,0,0,0,0,0,0.460648743,0
0,1,0,0,0,0,0,0.412571659,1
0,0,0,0,1,0,0,0.430377282,0
0,1,0,0,0,0,0,0.441383106,0
1,0,0,0,0,0,0,0.411755705,1
0,0,0,1,0,0,0,0.385628546,1
0,0,0,0,1,0,0,0.435934166,0
0,0,1,0,0,0,0,0.43923672,0
0,0,1,0,0,0,0,0.412978252,1
1,0,0,0,0,0,0,0.417762904,0
0,0,0,1,0,0,0,0.646027868,0
0,0,0,0,1,0,0,0.436635494,0
0,0,1,0,0,0,0,0.443678185,0
0,0,0,1,0,0,0,0.401404753,1
0,1,0,0,0,0,0,0.487814796,0
0,1,0,0,0,0,0,0.412759302,1
0,0,1,0,0,0,0,0.399929871,1
0,0,0,0,0,1,0,0.533404536,0
0,0,0,1,0,0,0,0.426572589,0
0,0,0,1,0,0,0,0.331511288,0
1,0,0,0,0,0,0,0.409048743,1
0,1,0,0,0,0,0,0.407571129,1
0,0,0,0,0,0,1,0.415887253,0
0,0,0,1,0,0,0,0.433838071,0
0,0,0,0,1,0,0,0.412087031,1
0,1,0,0,0,0,0,0.411352597,1
0,1,0,0,0,0,0,0.410915249,1
0,0,0,0,1,0,0,0.413776144,0
0,1,0,0,0,0,0,0.409317011,1
0,0,1,0,0,0,0,0.507989145,0
0,1,0,0,0,0,0,0.999765638,0
0,0,0,0,0,0,1,0.423318892,0
0,0,0,0,0,1,0,0.413025174,1
0,0,0,1,0,0,0,0.403564514,1
0,1,0,0,0,0,0,0.401169147,1
0,0,0,0,1,0,0,0.413353674,0
0,1,0,0,0,0,0,0.50895016,0
0,0,0,0,1,0,0,0.419892357,0
0,0,0,0,0,1,0,0.427384255,0
0,0,0,0,0,1,0,0.619370208,0
0,1,0,0,0,0,0,0.415000865,0
0,1,0,0,0,0,0,0.413039439,1
